protocol,controlled_gt_prior,reference_protocol,gt_prior_jitter_limit_m,prior_center_x,prior_center_y,prior_jitter_x,prior_jitter_y,progress_capped_to_gt,direct_kalman_ms_enabled,ms_grid_size,kalman_x,kalman_y,frame_reference_x,frame_reference_y,ms_lattice_index,ms_lattice_x,ms_lattice_y,ms_x,ms_y,ms_support,ms_mode_count,ms_shift_from_kalman_m,ms_latency_ms,frame_id,image_path,gt_x,gt_y,gt_progress_s,gt_cross_e,gt_waypoint_leg,gt_step_parallel,gt_step_norm_m,controlled_gt_motion_envelope,gt_velocity_parallel,gt_heading_deg,gt_turn_rate_deg_per_frame,predicted_progress_s,predicted_cross_e,predicted_x,predicted_y,motion_prediction_error_m,kalman_progress_std_m,acquisition_hypothesis_count,acquisition_radius_m,acquisition_selected_index,acquisition_target_index,acquisition_confidence,acquisition_margin,selected_hypothesis_center_s,selected_hypothesis_center_e,selected_candidate_capture,bank_candidate_capture,search_grid_size,search_candidate_count,forward_only_search,search_heading_deg,raw_top1_x,raw_top1_y,softms_x,softms_y,softms_mode_count,visual_anchor_x,visual_anchor_y,visual_anchor_s,visual_anchor_e,visual_entropy,visual_margin,visual_var_s,visual_var_e,candidate_capture,measurement_s,measurement_e,visual_measurement_error_m,measurement_var_s,measurement_var_e,local_visual_confidence,kalman_raw_measurement_s,kalman_raw_measurement_e,kalman_used_measurement_s,kalman_used_measurement_e,kalman_measurement_clip_s,kalman_measurement_clip_e,kalman_posterior_projection_m,kalman_step_limited,kalman_step_limit_m,kalman_motion_step_s,kalman_motion_step_e,v_parallel,v_cross,a_parallel,a_cross,heading_residual_deg,turn_rate_deg_per_frame,estimated_heading_deg,polynomial_heading_deg,heading_error_deg,poly_next_step_parallel,poly_next_step_cross,kalman_nis,kalman_r_scale,final_progress_s,final_cross_e,waypoint_leg_before_update,waypoint_leg,target_waypoint,route_remaining_m,route_leg_progress,progress_error_m,speed_error_m_per_frame,final_x,final_y,final_step_m,gt_step_for_jump_m,excess_step_over_gt_m,abnormal_jump,error_final_m,end_to_end_latency_ms
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-41.41473208662878,-2.1012529727827833,-3.781751739949091,-2.9361491796385573,0,1,4,-37.632978691184114,0.8348961808190729,-37.63298034667969,0.8348962068557739,79938,-37.296630859375,-0.22260963916778564,-38.045989990234375,-0.05699780583381653,0.9519153833389282,1,0.9828800621493798,0.0,0,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,1.6489573374209092e-06,1.4927559429529398e-07,0,0.0,0.0,1,0.0,173.92622821886636,0.0,0.0,0.0,-37.632978691184114,0.8348961808190729,1.6557003061335768e-06,3.826435506133408,1,0.0,0,0,0.6365001648393563,1.0,3.4498538970947266,3.319810152053833,0,0,6,18,1,173.92622821886636,-51.490604400634766,-0.13258513808250427,-51.42239761352539,1.5128319263458252,1,-51.057151794433594,1.3001700639724731,13.398046493530273,0.9577347040176392,0.6262595653533936,0.14342382550239563,11.933023452758789,9.80677604675293,0,11.179996490478516,0.8306533694267273,11.210810382331312,14.570608139038086,10.555923461914062,0.6365001648393563,11.179996490478516,0.8306533694267273,4.00037545330823,0.8306533694267273,7.1796210371702855,0.0,0.0,1,0.0,0.0,0.0,1.0538026094436646,-0.004884472116827965,0.06491026282310486,0.00044383667409420013,-0.27437696989161026,0.0,173.65185124897474,173.65185124897474,0.27437696989161026,1.0862230062484741,-0.009864331223070621,0.0887178417815711,1.0,0.31632254684979383,0.9305875901414269,0,0,1,728.9860627687756,0.0004337330484842671,0.31632089789245643,1.0538026094436646,-38.045989990234375,-0.05699780583381653,0.0,0.0,0.0,0,0.9828793901291802,1974.1360249463469
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-51.3870498450466,-1.2895301306937865,-3.6947814734645634,-3.0817739690040282,0,1,4,-44.62394672462194,1.1903760753989254,-47.69226837158203,1.7922438383102417,79442,-46.75927734375,-0.16259177029132843,-46.847816467285156,0.6402484178543091,0.9516626000404358,1,2.290903112732727,0.0,1,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,10.104117586693746,0.11238863701456824,0,10.104740969237914,10.104740969237914,1,10.104740969237914,174.56350519669104,0.6372769778246966,10.046361691698882,-0.002686459803953767,-47.622660722712915,1.9005618725121425,0.12875566517419854,4.6587008323523325,1,0.0,0,0,0.7888417106929111,1.0,13.452078819274902,3.5678036212921143,0,0,6,18,1,173.83019627940428,-60.95325469970703,-0.07257647067308426,-59.461734771728516,0.8012712001800537,1,-59.29889678955078,0.3889375925064087,21.49711036682129,2.7359018325805664,0.36767256259918213,0.3198418617248535,5.451744079589844,4.378412246704102,0,18.10394287109375,2.5014421939849854,8.348938943302828,9.946110725402832,4.9277753829956055,0.7888417106929111,18.10394287109375,2.5014421939849854,14.465676396104389,2.5014421939849854,3.6382664749893614,0.0,0.0,1,7.0,10.046361691698882,-0.002686459803953767,1.4408046007156372,-0.009898008778691292,0.1281355917453766,0.0007513149175792933,-0.46223262519378977,0.0,173.46399559367256,173.46399559367256,1.0995096030184865,1.504746675491333,-0.02166244015097618,0.2516878949575856,1.0,9.14251467733267,1.1685668000772087,0,0,1,720.1598706382928,0.01253597254227545,0.9616029093610763,8.663936368522277,-46.847816467285156,0.6402484178543091,8.829399845321285,10.104740969237914,0.0,0,1.4283530611939261,29.172861017286777
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-54.51428199964562,-1.0873869059428523,-3.6021840687374134,-3.22484928349107,0,1,4,-48.09074269533092,0.811184640750356,-50.9120979309082,2.1374623775482178,79442,-46.75927734375,-0.16259177029132843,-50.35770034790039,0.8092036247253418,0.920475423336029,1,2.2669585181400627,0.0,2,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,13.342399770459824,0.10979455772263991,0,3.2382832227808875,3.2382832227808875,1,3.2382832227808875,173.8803305005938,-0.6831746960972553,10.476802637638421,0.3795693065581324,-48.09113143744876,1.5659963807272248,2.878267767728271,5.291406025308523,1,0.0,0,0,0.9356074823028222,1.0,16.583145141601562,3.6976842880249023,0,0,6,18,1,173.70202600538065,-60.95325469970703,-0.07257647067308426,-63.44415283203125,0.6760715842247009,1,-61.14276885986328,0.06557891517877579,23.296417236328125,3.2525434494018555,0.1037762388586998,0.941725492477417,4.0,4.0,0,19.593942642211914,2.959596872329712,6.870455698837892,9.632415771484375,4.45074462890625,0.9356074823028222,19.593942642211914,2.959596872329712,15.299723213971182,2.959596872329712,4.294219428240732,0.0,0.0,1,3.48747192771998,3.487465582156662,-0.006652812007814646,1.734870195388794,-0.010417837649583817,0.165870800614357,0.0027683160733431578,-0.5612106040037371,0.0,173.3650176148626,173.3650176148626,0.5153128857311784,1.8176299333572388,-0.02683832123875618,0.26789862484808236,1.0,12.650572731533854,1.371936920020337,0,0,1,716.6518125840915,0.01734612828128757,0.69182703892597,1.5034130273920936,-50.35770034790039,0.8092036247253418,3.513948024278602,3.2382832227808875,0.27566480149771433,0,1.4393151129948878,30.433497857302427
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-57.64550818893699,-0.8814474091462432,-3.504028696749486,-3.365152691357547,0,1,4,-51.56372883201898,0.5398567459020809,-54.1414794921875,2.4837052822113037,79194,-51.490604400634766,-0.13258513808250427,-52.324954986572266,1.0405211448669434,0.9212907552719116,1,0.911114756091036,0.0,3,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,16.590288722828088,0.10719254995743437,0,3.2478899946519495,3.2478899946519495,1,3.2478899946519495,173.88032639355833,-4.107035451511243e-06,13.880108160056375,1.1213791910078468,-51.55382252649624,1.1884506147345786,2.893726529185289,4.601923044255649,1,0.0,0,0,0.938740806091465,1.0,19.718584060668945,3.8242123126983643,1,1,6,18,1,173.58407309404575,-60.95325469970703,-0.07257647067308426,-63.251441955566406,0.2886601388454437,1,-61.10832214355469,0.011033929884433746,23.256391525268555,3.3031373023986816,0.09807928651571274,0.9444546699523926,4.0,4.0,1,19.422618865966797,2.963838815689087,4.022750542508291,10.579130172729492,4.379977703094482,0.938740806091465,19.422618865966797,2.963838815689087,18.711645376807905,2.963838815689087,0.7109734891588921,0.0,0.23597326561616017,1,3.4835687925100998,3.483557869675577,-0.008723575621843338,2.0123915672302246,-0.009966929443180561,0.2067328244447708,0.005283060949295759,-0.6750265284553023,0.0,173.25120169041105,173.25120169041105,0.6291247031472922,2.1155247688293457,-0.03225097805261612,0.28700429925613324,1.0,14.631259603956437,1.3500709209962138,0,0,1,714.671125711669,0.020061993349472403,1.9590291188716513,1.2354984274217249,-52.324954986572266,1.0405211448669434,1.9808075647322407,3.2478899946519495,0.0,0,2.3200305458728465,28.630745131522417
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-61.06003871509445,-0.6415523486375916,-3.400393634528043,-3.502463241124164,0,1,4,-55.311018462771635,0.8470178182128743,-57.659645080566406,2.8609108924865723,78946,-56.221927642822266,-0.10258004069328308,-56.5252799987793,1.1202316284179688,0.9213923215866089,1,1.2446191642082616,0.0,4,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,20.12861673793889,0.1043575616514216,0,3.5383291508389427,3.5383291508389427,1,3.5383291508389427,173.88032155632646,-4.837231877058128e-06,17.58117747210372,1.7579729234035102,-55.301473099912165,0.9470364223609715,3.037085869339439,5.6622102193075206,1,0.0,0,0,0.7265593523395815,1.0,23.13932991027832,3.9469516277313232,0,0,6,18,1,173.46756810277358,-75.14722442626953,0.017425041645765305,-72.20812225341797,2.0708508491516113,1,-74.12432861328125,1.909865140914917,36.400245666503906,2.7921743392944336,0.46363142132759094,0.49994611740112305,6.884182929992676,14.107475280761719,0,32.4793815612793,2.389803171157837,12.560440014405348,14.753767013549805,14.405353546142578,0.7265593523395815,32.4793815612793,2.389803171157837,21.82921569103757,2.389803171157837,10.650165870241725,0.0,0.0,1,3.759857377759088,3.7598456087376535,-0.009407419711351395,2.430914878845215,-0.011760327965021133,0.3006655275821686,0.007643465884029865,-0.7475561471691091,0.0,173.17867207169724,173.17867207169724,0.7016494846292218,2.5809242725372314,-0.0416153185069561,0.08962357887301779,1.0,18.81644010311308,1.7152395927615547,0,0,1,710.4859452125123,0.025800601344488618,1.3121766348258106,1.1074142719937279,-56.5252799987793,1.1202316284179688,4.201081285735844,3.5383291508389427,0.6627521348969014,0,2.0776786178656916,34.35756801627576
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-64.14514128436127,-0.472265461726169,-3.2913662599472175,-3.6365618503522676,0,1,4,-58.711757180707686,1.1287471844537484,-60.85377502441406,3.1642963886260986,78698,-60.95325469970703,-0.07257647067308426,-60.4427604675293,0.6411471366882324,0.9448056817054749,1,1.7983676447178856,0.0,5,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,23.336917263843283,0.14064244739825194,0,3.208505704756041,3.208505704756041,1,3.208505704756041,174.57419812183036,0.6938765655039107,20.992458112974617,1.8477385362974215,-58.70310246268915,1.21871850556146,2.9001147851122497,6.290856636140526,1,0.0,0,0,0.7005428974912877,1.0,26.225027084350586,4.105046272277832,0,0,6,18,1,173.36645451590925,-75.14722442626953,0.017425041645765305,-74.91392517089844,1.94170081615448,1,-74.76132202148438,2.042100667953491,37.04765701293945,2.7280807495117188,0.514407217502594,0.49200761318206787,4.278791427612305,14.406333923339844,0,33.09716796875,2.2934207916259766,9.994846092962499,12.88430404663086,14.664373397827148,0.7005428974912877,33.09716796875,2.2934207916259766,25.168951081075658,2.2934207916259766,7.928216887674341,0.0,0.0,1,3.4123884983207615,3.4123717178750557,-0.010701519437134266,2.6388802528381348,-0.012074757367372513,0.3175524175167084,0.008868432603776455,-0.7582468339632071,0.0,173.16798138490313,173.16798138490313,1.4062167369272305,2.7973105907440186,-0.044662706553936005,0.08746945270826784,1.0,22.661238338733163,2.606138970147337,0,0,1,706.6411469768923,0.031072486248520766,0.6756789251101196,0.569625451917906,-60.4427604675293,0.6411471366882324,3.946666336701604,3.208505704756041,0.7381606319455631,0,2.556406679995535,28.765000170096755
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-67.2018156732335,-0.30174683902330957,-3.1770430291905294,-3.7672316965825137,0,1,4,-62.07968744777286,1.3118193493268038,-64.02477264404297,3.465484857559204,78698,-60.95325469970703,-0.07257647067308426,-61.48418045043945,0.7304158806800842,0.9410471320152283,1,0.8322611232224474,0.0,6,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,26.52198285419817,0.17666442190985815,0,3.1852692817892896,3.1852692817892896,1,3.1852692817892896,174.57419576006495,-2.3617654319307122e-06,24.364427291553337,1.9266637474081318,-62.06449402787605,1.4970206358516245,2.7780467319942823,6.045615868752516,1,0.0,0,0,0.7502295017177271,1.0,29.28258514404297,4.258908271789551,1,1,6,18,1,173.2969889307293,-75.14722442626953,0.017425041645765305,-74.83358764648438,1.900567889213562,1,-74.82567596435547,1.6876238584518433,37.07414245605469,3.087376832962036,0.4277985990047455,0.5740393400192261,4.0,12.24406909942627,1,33.10873031616211,2.625631809234619,7.027281365639812,13.193324089050293,12.473760604858398,0.7502295017177271,33.10873031616211,2.625631809234619,28.677558421277087,2.625631809234619,4.431171894885023,0.0,0.0,1,3.3729022667971,3.3728828089757967,-0.011456800624728203,2.804274797439575,-0.012770324945449829,0.33395159244537354,0.009559725411236286,-0.7970485516686677,0.0,173.1291796671977,173.1291796671977,1.4450160928672593,2.9708518981933594,-0.04932178184390068,0.12601553942592186,1.0,23.706257720362636,2.627562823144102,0,0,1,705.5961275952628,0.032505388982243776,2.815725133835535,0.3809944843497144,-61.48418045043945,0.7304158806800842,1.045238962849392,3.1852692817892896,0.0,0,3.7329895529569486,30.27970902621746
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-70.56200789127028,-0.09826408944263809,-3.0575294366804333,-3.894258609630016,0,1,4,-65.74727056579647,1.237668946777041,-67.50447845458984,3.795994520187378,78450,-65.68457794189453,-0.0425744354724884,-66.26026916503906,2.1637375354766846,0.900603175163269,1,1.0586645331742308,0.0,7,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,30.017126139965036,0.21619386667028173,0,3.4953668140903713,3.4953668140903713,1,3.4953668140903713,174.57420559931634,9.839251396384248e-06,28.028251883256598,2.1002537636794423,-65.72611904857737,1.7120702587127168,2.7395807169192397,4.827897148522163,1,0.0,0,0,0.856247591628906,1.0,32.64544677734375,4.412105560302734,0,0,6,18,1,173.23825570716951,-75.14722442626953,0.017425041645765305,-77.40663146972656,1.2554090023040771,1,-75.40955352783203,0.7925394177436829,37.56003189086914,4.039216041564941,0.24371126294136047,0.7867450714111328,4.0,6.709157943725586,0,33.584651947021484,3.5533316135406494,4.8850515581312655,13.719253540039062,6.915762424468994,0.856247591628906,33.584651947021484,3.5533316135406494,32.63293276023609,3.5533316135406494,0.9517191867853949,0.0,0.0,1,3.6683326198437936,3.668312401630236,-0.012179238721728325,2.952303886413574,-0.013207676820456982,0.34924593567848206,0.010355241596698761,-0.7981713173743414,0.0,173.12805690149202,173.12805690149202,1.4461486978243294,3.126511573791504,-0.05158820003271103,0.24615394106113087,1.0,28.607193949867522,1.7076397556210432,0,0,1,700.6951913657579,0.03922542216489115,1.4099321900975141,0.5430629276767971,-66.26026916503906,2.1637375354766846,4.9865252807776494,3.4953668140903713,1.4911584666872781,0,2.0523936319189127,30.581394908949733
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-73.63829274052361,0.05912712551819155,-2.9329399573204826,-4.017431464417111,0,1,4,-69.11131144062095,1.5040307061499139,-70.70535278320312,4.076558589935303,78202,-70.41590118408203,-0.01257393043488264,-70.3276596069336,2.8807945251464844,0.920964777469635,1,1.8371122652113963,0.0,8,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,33.22971848128238,0.2758856861948469,0,3.2131468476882663,3.2131468476882663,1,3.2131468476882663,174.9906943779613,0.4164887786449554,31.37363426795823,2.561485155481284,-69.10152445534986,1.6073991710785505,2.9443188585738493,5.245409972341117,1,0.0,0,0,0.6132567719266917,1.0,35.72111511230469,4.581096172332764,0,0,6,18,1,173.19968610917414,-79.87855529785156,0.04742248356342316,-83.32307434082031,0.9963765740394592,1,-82.44024658203125,1.8046139478683472,44.658348083496094,3.7767326831817627,0.6559872031211853,0.12222996354103088,9.070223808288574,21.32221221923828,0,40.67919921875,3.279782772064209,8.032319774535582,19.00623893737793,21.51999282836914,0.6132567719266917,40.67919921875,3.279782772064209,35.310090390756635,3.279782772064209,5.369108827993367,0.0,0.0,1,3.374569542081795,3.374545474933845,-0.012744879350066185,3.0010199546813965,-0.0132472338154912,0.34758156538009644,0.010600579902529716,-0.8129832229197488,0.0,173.1132449959466,173.1132449959466,1.8774493820146922,3.1743781566619873,-0.05299276486039162,0.08406721492176988,1.0,32.72762303112847,1.4249740174277319,0,0,1,696.574762284497,0.044875244740855615,0.5020954501539094,0.21212689300686982,-70.3276596069336,2.8807945251464844,4.1301132833433645,3.2131468476882663,0.9169664356550982,0,1.2539951491297103,30.0443631131202
GT+smooth-jitter_controlled_forward3x6_SoftMS_local_prior_3frame_causal_heading_continuous_waypoint_RNN_polynomial_Kalman,1,controlled_gt_jitter,8.0,-76.7048948581411,0.22016547625838356,-2.80339797093407,-4.136542573515786,0,1,4,-72.46700232029258,1.5964246579061658,-73.90149688720703,4.35670804977417,78202,-70.41590118408203,-0.01257393043488264,-74.03233337402344,2.479466199874878,0.9044950008392334,1,1.7972266614471977,0.0,9,/yh/study/uav-sat/v36_GvsK/v36_training_data/routes/route_B/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,36.43756328176886,0.33548928842530945,0,3.2083984873152747,3.2083984873152747,1,3.2083984873152747,174.99069428429587,-9.36654270362917e-08,34.7293663618986,2.6522877350761487,-72.44802681412409,1.8721725788842383,2.878453014981829,5.248322653423143,1,0.0,0,0,0.6107585978640709,1.0,38.787540435791016,4.74543571472168,1,1,6,18,1,173.1694317328847,-79.87855529785156,0.04742248356342316,-83.22663116455078,0.47839927673339844,1,-82.2149429321289,1.081242561340332,44.35776901245117,4.472204208374023,0.6550965905189514,0.2085106074810028,9.075494766235352,25.218069076538086,1,40.37550354003906,3.9651851654052734,5.355563988700955,19.22911262512207,25.40725326538086,0.6107585978640709,40.37550354003906,3.9651851654052734,38.6589525060248,3.9651851654052734,1.7165510340142682,0.0,0.0,1,3.3569626036392592,3.356937349912689,-0.013021174818277359,3.0521557331085205,-0.013520218431949615,0.3489486575126648,0.01075622159987688,-0.7949175326476238,0.0,173.13131068621874,173.13131068621874,1.85938359807714,3.2262063026428223,-0.05290592089295387,0.1274056479610511,1.0,36.36903645199129,2.2160368743418193,0,0,1,692.9333488636341,0.04986825380565786,0.06852682977756785,0.15624275420675415,-74.03233337402344,2.479466199874878,3.7263483660587835,3.2083984873152747,0.5179498787435088,0,1.8817957246459498,34.89464498125017
