frame_id,image_path,x_px,y_px,x_m,y_m,yaw_deg,timestamp_ns,source_index,source_target_path
0,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_014_v3d.jpg,372.818227,605.908928,93.204557,151.477232,200.084980,0,1697,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_014_v3d.jpg
1,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_2_s_014_v3d.jpg,380.004721,624.805842,95.001180,156.201461,23.927166,1000000000,297,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_2_s_014_v3d.jpg
2,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_062_v3d.jpg,408.233754,638.385301,102.058438,159.596325,333.512998,2000000000,1648,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_062_v3d.jpg
3,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_072_v3d.jpg,421.797457,679.237221,105.449364,169.809305,266.558809,3000000000,1629,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_072_v3d.jpg
4,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_037_v3d.jpg,447.545247,697.204349,111.886312,174.301087,140.851241,4000000000,1682,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_037_v3d.jpg
5,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_066_v3d.jpg,470.266266,713.932274,117.566567,178.483068,243.071252,5000000000,136,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_0_1_s_066_v3d.jpg
6,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_002_v3d.jpg,493.181464,738.081452,123.295366,184.520363,357.069464,6000000000,1687,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_002_v3d.jpg
7,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_1_s_000_v3d.jpg,528.257924,755.109262,132.064481,188.777315,258.264988,7000000000,3109,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_1_s_000_v3d.jpg
8,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_044_v3d.jpg,557.209719,757.602862,139.302430,189.400715,123.710699,8000000000,1604,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_1_s_044_v3d.jpg
9,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_3_s_097_v3d.jpg,582.332263,779.724338,145.583066,194.931085,80.275054,9000000000,3369,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_3_s_097_v3d.jpg
10,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_083_v3d.jpg,614.295294,789.733840,153.573824,197.433460,331.547204,10000000000,1700,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_083_v3d.jpg
11,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_078_v3d.jpg,649.149290,806.257227,162.287322,201.564307,81.458473,11000000000,3255,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_2_s_078_v3d.jpg
12,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_3_s_083_v3d.jpg,685.746694,809.001039,171.436673,202.250260,304.579310,12000000000,3300,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_2_3_s_083_v3d.jpg
13,/yh/study/cvpr_data/Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_087_v3d.jpg,707.898527,820.587845,176.974632,205.146961,267.485995,13000000000,1789,./Bearing_UAV_90K/cityb/uav_254k_36bc_b15_s100/blk_1_2_s_087_v3d.jpg
